
Classifying The Data ...
    Number of input layer nodes  : 120
    Number of hidden layer nodes : 20
    Hidden Layer Activation Type : ReLU
    Output Layer Activation Type : Logistic

Frame Number 338, Classification: 3, Probability: 1.000000
Frame Number 339, Classification: 3, Probability: 1.000000
Frame Number 340, Classification: 3, Probability: 1.000000
Frame Number 341, Classification: 3, Probability: 1.000000
Frame Number 342, Classification: 3, Probability: 1.000000
Frame Number 343, Classification: 3, Probability: 1.000000
Frame Number 344, Classification: 3, Probability: 1.000000
Frame Number 345, Classification: 3, Probability: 1.000000
Frame Number 346, Classification: 3, Probability: 1.000000
Frame Number 347, Classification: 3, Probability: 1.000000
Frame Number 348, Classification: 3, Probability: 1.000000
Frame Number 349, Classification: 3, Probability: 1.000000
Frame Number 350, Classification: 3, Probability: 1.000000
Frame Number 351, Classification: 3, Probability: 1.000000
Frame Number 352, Classification: 3, Probability: 1.000000
Frame Number 353, Classification: 3, Probability: 1.000000
Frame Number 354, Classification: 3, Probability: 1.000000
Frame Number 355, Classification: 3, Probability: 1.000000
Frame Number 356, Classification: 3, Probability: 1.000000
Frame Number 357, Classification: 3, Probability: 1.000000
Frame Number 358, Classification: 3, Probability: 1.000000
Frame Number 359, Classification: 3, Probability: 1.000000
Frame Number 360, Classification: 3, Probability: 1.000000
Frame Number 361, Classification: 3, Probability: 1.000000
Frame Number 362, Classification: 3, Probability: 1.000000
Frame Number 363, Classification: 3, Probability: 1.000000
Frame Number 364, Classification: 3, Probability: 1.000000
Frame Number 365, Classification: 3, Probability: 1.000000
Frame Number 366, Classification: 3, Probability: 1.000000
Frame Number 367, Classification: 3, Probability: 1.000000
Frame Number 368, Classification: 3, Probability: 1.000000
Frame Number 369, Classification: 3, Probability: 1.000000
Frame Number 370, Classification: 3, Probability: 1.000000
Frame Number 371, Classification: 3, Probability: 1.000000
Frame Number 372, Classification: 3, Probability: 1.000000
Frame Number 373, Classification: 3, Probability: 1.000000
Frame Number 374, Classification: 3, Probability: 1.000000
Frame Number 375, Classification: 3, Probability: 1.000000
Frame Number 376, Classification: 3, Probability: 1.000000
Frame Number 377, Classification: 3, Probability: 1.000000
Frame Number 378, Classification: 3, Probability: 1.000000
Frame Number 379, Classification: 3, Probability: 1.000000
Frame Number 380, Classification: 3, Probability: 1.000000
Frame Number 381, Classification: 3, Probability: 1.000000
Frame Number 382, Classification: 3, Probability: 1.000000
Frame Number 383, Classification: 3, Probability: 1.000000
Frame Number 384, Classification: 3, Probability: 1.000000
Frame Number 385, Classification: 3, Probability: 1.000000
Frame Number 386, Classification: 3, Probability: 1.000000
Frame Number 387, Classification: 3, Probability: 1.000000
Frame Number 388, Classification: 3, Probability: 1.000000
Frame Number 389, Classification: 3, Probability: 1.000000
Frame Number 390, Classification: 3, Probability: 1.000000
Frame Number 391, Classification: 3, Probability: 1.000000
Frame Number 392, Classification: 3, Probability: 1.000000
Frame Number 393, Classification: 3, Probability: 1.000000
Frame Number 394, Classification: 3, Probability: 1.000000
Frame Number 395, Classification: 3, Probability: 1.000000
Frame Number 396, Classification: 3, Probability: 1.000000
Frame Number 397, Classification: 3, Probability: 1.000000
Frame Number 398, Classification: 3, Probability: 1.000000
Frame Number 399, Classification: 3, Probability: 1.000000
Frame Number 400, Classification: 3, Probability: 1.000000
Frame Number 401, Classification: 3, Probability: 1.000000
Frame Number 402, Classification: 3, Probability: 1.000000
Frame Number 403, Classification: 3, Probability: 1.000000
Frame Number 404, Classification: 3, Probability: 1.000000
Frame Number 405, Classification: 3, Probability: 1.000000
Frame Number 406, Classification: 3, Probability: 1.000000
Frame Number 407, Classification: 3, Probability: 1.000000
Frame Number 408, Classification: 3, Probability: 1.000000
Frame Number 409, Classification: 3, Probability: 1.000000
Frame Number 410, Classification: 3, Probability: 1.000000
Frame Number 411, Classification: 3, Probability: 1.000000
Frame Number 412, Classification: 3, Probability: 1.000000
Frame Number 413, Classification: 3, Probability: 1.000000
Frame Number 414, Classification: 3, Probability: 1.000000
Frame Number 415, Classification: 3, Probability: 1.000000
Frame Number 416, Classification: 3, Probability: 1.000000
Frame Number 417, Classification: 3, Probability: 1.000000
Frame Number 418, Classification: 3, Probability: 1.000000
Frame Number 419, Classification: 3, Probability: 1.000000
Frame Number 420, Classification: 3, Probability: 1.000000
Frame Number 421, Classification: 3, Probability: 1.000000
Frame Number 422, Classification: 3, Probability: 1.000000
Frame Number 423, Classification: 3, Probability: 1.000000
Frame Number 424, Classification: 3, Probability: 1.000000
Frame Number 425, Classification: 3, Probability: 1.000000
Frame Number 426, Classification: 3, Probability: 1.000000
Frame Number 427, Classification: 3, Probability: 1.000000
Frame Number 428, Classification: 3, Probability: 1.000000
Frame Number 429, Classification: 3, Probability: 1.000000
Frame Number 430, Classification: 3, Probability: 1.000000
Frame Number 431, Classification: 3, Probability: 1.000000
Frame Number 432, Classification: 3, Probability: 1.000000
Frame Number 433, Classification: 3, Probability: 1.000000
Frame Number 434, Classification: 3, Probability: 1.000000
Frame Number 435, Classification: 3, Probability: 1.000000
Frame Number 436, Classification: 3, Probability: 1.000000
Frame Number 437, Classification: 3, Probability: 1.000000
Frame Number 438, Classification: 3, Probability: 1.000000
Frame Number 439, Classification: 3, Probability: 1.000000
Frame Number 440, Classification: 3, Probability: 1.000000
Frame Number 441, Classification: 3, Probability: 1.000000
Frame Number 442, Classification: 3, Probability: 1.000000
Frame Number 443, Classification: 3, Probability: 1.000000
Frame Number 444, Classification: 3, Probability: 1.000000
Frame Number 445, Classification: 3, Probability: 1.000000
Frame Number 446, Classification: 3, Probability: 1.000000
Frame Number 447, Classification: 3, Probability: 1.000000
Frame Number 448, Classification: 3, Probability: 1.000000
Frame Number 449, Classification: 3, Probability: 1.000000
Frame Number 450, Classification: 3, Probability: 1.000000
Frame Number 451, Classification: 3, Probability: 1.000000
Frame Number 452, Classification: 3, Probability: 1.000000
Frame Number 453, Classification: 3, Probability: 1.000000
Frame Number 454, Classification: 3, Probability: 1.000000
Frame Number 455, Classification: 3, Probability: 1.000000
Frame Number 456, Classification: 3, Probability: 1.000000
Frame Number 457, Classification: 3, Probability: 1.000000
Frame Number 458, Classification: 3, Probability: 1.000000
Frame Number 459, Classification: 3, Probability: 1.000000
Frame Number 460, Classification: 3, Probability: 1.000000
Frame Number 461, Classification: 3, Probability: 1.000000
Frame Number 462, Classification: 3, Probability: 1.000000
Frame Number 463, Classification: 3, Probability: 1.000000
Frame Number 464, Classification: 3, Probability: 1.000000
Frame Number 465, Classification: 3, Probability: 1.000000
Frame Number 466, Classification: 3, Probability: 1.000000
